source,target,relation,method,confidence,doc_id
COBS 21.2.4B,COBS 21.2.4A,CITES,rule,0.97,COBS_1134
COBS 21.2.9,COBS 21.3,CITES,rule,0.97,COBS_1136
COBS 21.2.9,COBS 21.3.,CITES,rule,0.97,COBS_1136
COBS 21.3.1,COBS 21.3.6,CITES,rule,0.97,COBS_1137
COBS 21.3.1,COBS 21.3.8,CITES,rule,0.97,COBS_1137
COBS 21.3.2,COBS 21.3.1R,CITES,rule,0.97,COBS_1139
COBS 21.3.11,COBS 21.3.11R,CITES,rule,0.97,COBS_1145
COBS 21.3.13,COBS 21.3.14,CITES,rule,0.97,COBS_1147
COBS 21.3.15,COBS 21.3.16R,CITES,rule,0.97,COBS_1149
COBS 21.3.16,COBS 21.3.15R,CITES,rule,0.97,COBS_1150
COBS 21.3.16,COBS 21.3.16AR,CITES,rule,0.97,COBS_1150
COBS 21.3.16A,COBS 21.3.16R,CITES,rule,0.97,COBS_1151
COBS 21.3.16B,COBS 21.3.16AR,CITES,rule,0.97,COBS_1152
COBS 21.3.16C,COBS 21.3.16R,CITES,rule,0.97,COBS_1153
COBS 21.3.16C,COBS 21.3.16AR,CITES,rule,0.97,COBS_1153
COBS 21.3.17,COBS 21.3.16R,CITES,rule,0.97,COBS_1154
COBS 21.3.18,COBS 21.3.16R,CITES,rule,0.97,COBS_1155
COBS 21.3.18A,COBS 21.3.16R,CITES,rule,0.97,COBS_1156
COBS 21.3.18B,COBS 21.3.16AR,CITES,rule,0.97,COBS_1157
COBS 21.3.18B,COBS 21.3.18AR,CITES,rule,0.97,COBS_1157
COBS 21.3.18B,COBS 21.3.16R,CITES,rule,0.97,COBS_1157
COBS 21.3.19A,COBS 21.3.19R,CITES,rule,0.97,COBS_1159
COBS 21.3.20,COBS 21.2.4R,CITES,rule,0.97,COBS_1160
